,ticker,quarter,e_consensus,e_mean,w_consensus,actual
97,WMT,Q4'20,1.47,1.46,1.43,1.13
98,WMT,Q1'21,1.21,1.21,1.14,1.13
99,WMT,Q2'21,1.29,1.29,1.25,1.13
100,WMT,Q3'21,1.29,1.28,1.18,1.13
101,WMT,Q4'21,1.57,1.55,1.51,1.13
102,WMT,Q1'22,1.28,1.28,1.21,1.13
103,WMT,Q2'22,1.65,1.63,1.57,1.13
104,WMT,Q3'22,1.50,1.49,1.40,1.13
105,WMT,Q4'22,1.57,1.57,1.50,1.13
106,TGT,Q1'20,0.69,0.89,0.57,0.59
107,TGT,Q2'20,1.63,1.62,1.63,0.59
108,TGT,Q3'20,1.80,1.73,1.60,0.59
109,TGT,Q4'20,2.73,2.69,2.57,0.59
110,TGT,Q1'21,2.39,2.36,2.21,0.59
111,TGT,Q2'21,3.94,3.82,3.51,0.59
112,TGT,Q3'21,3.03,2.97,2.82,0.59
113,TGT,Q4'21,2.95,2.87,2.84,0.59
114,TGT,Q1'22,3.17,3.17,3.07,0.59
115,TGT,Q2'22,0.88,1.22,0.79,0.59
116,TGT,Q3'22,2.09,2.26,2.16,0.59
117,TGT,Q4'22,,,1.70,0.59
118,PANW,Q1'20,0.37,0.38,0.34,0.35
119,PANW,Q2'20,0.39,0.41,0.37,0.35
120,PANW,Q3'20,0.33,0.35,0.31,0.35
121,PANW,Q4'20,0.48,0.48,0.46,0.35
122,PANW,Q1'21,0.46,0.46,0.44,0.35
123,PANW,Q2'21,0.50,0.50,0.48,0.35
124,PANW,Q3'21,0.47,0.46,0.43,0.35
125,PANW,Q4'21,0.50,0.50,0.48,0.35
126,PANW,Q1'22,0.55,0.55,0.52,0.35
127,PANW,Q2'22,0.57,0.57,0.55,0.35
128,PANW,Q3'22,0.58,0.58,0.56,0.35
129,PANW,Q4'22,0.78,0.77,0.76,0.35
130,MU,Q1'20,0.50,0.67,0.48,0.48
131,MU,Q2'20,0.38,0.48,0.37,0.48
132,MU,Q3'20,0.76,0.74,0.75,0.48
133,MU,Q4'20,1.03,0.99,0.98,0.48
134,MU,Q1'21,0.79,0.80,0.68,0.48
135,MU,Q2'21,1.00,0.96,0.95,0.48
136,MU,Q3'21,1.78,1.72,1.72,0.48
137,MU,Q4'21,2.42,2.35,2.33,0.48
138,MU,Q1'22,2.21,2.23,2.10,0.48
139,MU,Q2'22,2.06,2.08,1.98,0.48
140,MU,Q3'22,2.51,2.52,2.43,0.48
141,MU,Q4'22,1.53,1.70,1.37,0.48
142,CRM,Q1'20,0.63,0.63,0.61,0.93
143,CRM,Q2'20,0.52,0.55,0.47,0.93
144,CRM,Q3'20,0.70,0.69,0.66,0.93
145,CRM,Q4'20,0.62,0.63,0.56,0.93
146,CRM,Q1'21,0.71,0.71,0.69,0.93
147,CRM,Q2'21,0.70,0.71,0.67,0.93
148,CRM,Q3'21,0.89,0.88,0.75,0.93
149,CRM,Q4'21,1.03,0.95,0.75,0.93
150,CRM,Q1'22,1.00,0.97,0.88,0.93
151,CRM,Q2'22,1.07,1.08,0.92,0.93
152,CRM,Q3'22,1.14,1.15,0.92,0.93
153,CRM,Q4'22,0.88,0.91,0.75,0.93
154,BAC,Q1'20,0.51,0.56,0.48,0.40
155,BAC,Q2'20,0.31,0.40,0.28,0.37
156,BAC,Q3'20,0.52,0.53,0.49,0.51
157,BAC,Q4'20,0.58,0.58,0.55,0.59
158,BAC,Q1'21,0.70,0.67,0.66,0.86
159,BAC,Q2'21,0.84,0.80,0.77,1.03
160,BAC,Q3'21,0.80,0.78,0.71,0.85
161,BAC,Q4'21,0.81,0.81,0.77,0.82
162,BAC,Q1'22,0.79,0.79,0.75,0.80
163,BAC,Q2'22,0.79,0.80,0.75,0.73
164,BAC,Q3'22,0.79,0.79,0.78,0.81
165,BAC,Q4'22,,,0.86,-
166,CVX,Q1'20,0.66,0.76,0.65,1.58
167,CVX,Q2'20,-0.77,-0.57,-0.89,-1.59
168,CVX,Q3'20,-0.20,-0.04,-0.26,0.11
169,CVX,Q4'20,0.15,0.25,0.09,-0.01
170,CVX,Q1'21,0.91,0.85,0.89,0.90
171,CVX,Q2'21,1.60,1.42,1.59,1.71
172,CVX,Q3'21,2.22,2.02,2.20,2.96
173,CVX,Q4'21,3.41,3.23,3.12,2.56
174,CVX,Q1'22,3.59,3.35,3.41,3.36
175,CVX,Q2'22,5.11,4.77,5.08,5.82
176,CVX,Q3'22,5.00,4.92,4.89,5.56
177,CVX,Q4'22,,,4.50,-
178,AMGN,Q1'20,3.78,3.78,3.74,4.17
179,AMGN,Q2'20,3.88,3.89,3.82,4.25
180,AMGN,Q3'20,3.90,3.87,3.80,4.37
181,AMGN,Q4'20,3.52,3.52,3.36,3.81
182,AMGN,Q1'21,4.17,4.18,4.04,3.70
183,AMGN,Q2'21,4.21,4.19,4.09,4.38
184,AMGN,Q3'21,4.35,4.34,4.28,4.67
185,AMGN,Q4'21,4.19,4.20,4.04,4.36
186,AMGN,Q1'22,4.14,4.12,4.10,4.25
187,AMGN,Q2'22,4.44,4.46,4.39,4.65
188,AMGN,Q3'22,4.49,4.49,4.44,4.70
189,AMGN,Q4'22,,,4.09,-
190,AMZN,Q1'20,0.33,0.34,0.31,0.25
191,AMZN,Q2'20,0.11,0.13,0.07,0.52
192,AMZN,Q3'20,0.42,0.39,0.37,0.62
193,AMZN,Q4'20,0.47,0.46,0.36,0.70
194,AMZN,Q1'21,0.58,0.55,0.48,0.79
195,AMZN,Q2'21,0.74,0.70,0.61,0.76
196,AMZN,Q3'21,0.54,0.56,0.44,0.31
197,AMZN,Q4'21,0.22,0.28,0.18,1.39
198,AMZN,Q1'22,0.47,0.52,0.42,0.21
199,AMZN,Q2'22,0.17,0.26,0.12,0.10
200,AMZN,Q3'22,0.26,0.29,0.22,0.28
201,AMZN,Q4'22,,,0.22,-
202,GOOG,Q1'20,0.55,0.56,0.53,0.49
203,GOOG,Q2'20,0.41,0.45,0.40,0.51
204,GOOG,Q3'20,0.58,0.58,0.56,0.82
205,GOOG,Q4'20,0.84,0.80,0.79,1.12
206,GOOG,Q1'21,0.89,0.85,0.79,1.31
207,GOOG,Q2'21,1.12,1.06,0.96,1.36
208,GOOG,Q3'21,1.28,1.23,1.19,1.40
209,GOOG,Q4'21,1.44,1.42,1.38,1.53
210,GOOG,Q1'22,1.34,1.34,1.29,1.23
211,GOOG,Q2'22,1.30,1.31,1.27,1.21
212,GOOG,Q3'22,1.29,1.30,1.26,1.06
213,GOOG,Q4'22,,,1.19,-
214,TSLA,Q1'20,-0.02,0,-0.02,0.08
215,TSLA,Q2'20,0.01,0.01,0,0.15
216,TSLA,Q3'20,0.22,0.19,0.19,0.25
217,TSLA,Q4'20,0.37,0.32,0.34,0.27
218,TSLA,Q1'21,0.28,0.27,0.25,0.31
219,TSLA,Q2'21,0.33,0.33,0.31,0.48
220,TSLA,Q3'21,0.60,0.56,0.54,0.62
221,TSLA,Q4'21,0.83,0.77,0.79,0.85
222,TSLA,Q1'22,0.81,0.80,0.75,1.07
223,TSLA,Q2'22,0.66,0.72,0.60,0.76
224,TSLA,Q3'22,1.09,1.09,1.00,1.05
225,TSLA,Q4'22,,,1.31,-
226,JNJ,Q1'20,2.06,2.11,2.01,2.30
227,JNJ,Q2'20,1.59,1.66,1.49,1.67
228,JNJ,Q3'20,2.04,2.04,1.98,2.20
229,JNJ,Q4'20,1.92,1.94,1.82,1.86
230,JNJ,Q1'21,2.42,2.38,2.34,2.59
231,JNJ,Q2'21,2.35,2.36,2.29,2.48
232,JNJ,Q3'21,2.41,2.41,2.35,2.60
233,JNJ,Q4'21,2.29,2.30,2.12,2.13
234,JNJ,Q1'22,2.65,2.63,2.58,2.67
235,JNJ,Q2'22,2.61,2.61,2.54,2.59
236,JNJ,Q3'22,2.53,2.52,2.48,2.55
237,JNJ,Q4'22,,,2.23,-
238,HD,Q1'20,2.31,2.33,2.28,2.08
239,HD,Q2'20,3.67,3.47,3.68,4.02
240,HD,Q3'20,3.19,3.07,3.05,3.18
241,HD,Q4'20,2.77,2.70,2.63,2.65
242,HD,Q1'21,3.20,3.08,3.08,3.86
243,HD,Q2'21,4.51,4.37,4.45,4.53
244,HD,Q3'21,3.54,3.51,3.42,3.92
245,HD,Q4'21,3.33,3.20,3.18,3.21
246,HD,Q1'22,3.70,3.69,3.68,4.09
247,HD,Q2'22,4.98,4.99,4.95,5.05
248,HD,Q3'22,4.22,4.21,4.12,4.24
249,HD,Q4'22,,,3.30,-
250,NKE,Q1'20,0.72,0.74,0.71,0.86
251,NKE,Q2'20,0.62,0.61,0.58,0.70
252,NKE,Q3'20,0.60,0.66,0.59,0.78
253,NKE,Q4'20,0.17,0.26,0.09,-0.51
254,NKE,Q1'21,0.44,0.49,0.47,0.95
255,NKE,Q2'21,0.74,0.72,0.63,0.78
256,NKE,Q3'21,0.82,0.81,0.76,0.90
257,NKE,Q4'21,0.60,0.60,0.51,0.93
258,NKE,Q1'22,1.21,1.21,1.12,1.16
259,NKE,Q2'22,0.72,0.77,0.63,0.83
260,NKE,Q3'22,0.77,0.84,0.71,0.87
261,NKE,Q4'22,0.87,0.88,0.80,0.90
262,BB,Q1'20,0.04,0.05,0.01,0.01
263,BB,Q2'20,0.02,0.03,0,0
264,BB,Q3'20,0.03,0.03,0.02,0.03
265,BB,Q4'20,0.06,0.05,0.04,0.09
266,BB,Q1'21,0,0.01,-0.02,0.02
267,BB,Q2'21,0.03,0.03,0.02,0.11
268,BB,Q3'21,0.05,0.05,-0.01,0.02
269,BB,Q4'21,0.05,0.05,0.03,0.03
270,BB,Q1'22,-0.02,-0.02,-0.06,-0.05
271,BB,Q2'22,-0.05,-0.05,-0.08,-0.06
272,BB,Q3'22,-0.06,-0.05,-0.07,0
273,BB,Q4'22,-0.02,-0.02,-0.05,0.01
274,COST,Q1'20,1.76,1.76,1.70,1.73
275,COST,Q2'20,2.11,2.09,2.06,2.10
276,COST,Q3'20,2.00,2.02,1.92,2.36
277,COST,Q4'20,2.87,2.84,2.85,3.51
278,COST,Q1'21,2.29,2.21,2.05,2.29
279,COST,Q2'21,2.54,2.50,2.45,2.14
280,COST,Q3'21,2.49,2.42,2.32,2.75
281,COST,Q4'21,3.66,3.59,3.58,3.90
282,COST,Q1'22,2.74,2.69,2.62,2.97
283,COST,Q2'22,2.87,2.81,2.76,2.92
284,COST,Q3'22,3.10,3.07,3.04,3.04
285,COST,Q4'22,4.21,4.18,4.17,4.20
286,PG,Q1'20,1.26,1.25,1.24,1.37
287,PG,Q2'20,1.40,1.38,1.37,1.42
288,PG,Q3'20,1.16,1.15,1.12,1.17
289,PG,Q4'20,1.06,1.06,1.01,1.16
290,PG,Q1'21,1.44,1.43,1.42,1.63
291,PG,Q2'21,1.56,1.55,1.51,1.64
292,PG,Q3'21,1.27,1.27,1.19,1.26
293,PG,Q4'21,1.16,1.17,1.08,1.13
294,PG,Q1'22,1.62,1.63,1.59,1.61
295,PG,Q2'22,1.68,1.68,1.65,1.66
296,PG,Q3'22,1.32,1.32,1.29,1.33
297,PG,Q4'22,1.24,1.26,1.22,1.21
298,AAPL,Q1'20,1.15,1.14,1.13,1.25
299,AAPL,Q2'20,0.58,0.62,0.56,0.64
